week,fifteenminutecity,worldeconomicforum,klausschwab,cricketflour
2019-03-03,0,10,1,1
2019-03-10,0,9,1,1
2019-03-17,0,8,1,1
2019-03-24,0,8,1,1
2019-03-31,0,8,1,1
2019-04-07,0,8,1,1
2019-04-14,0,7,1,1
2019-04-21,0,8,1,1
2019-04-28,0,8,1,1
2019-05-05,0,8,1,1
2019-05-12,0,8,1,1
2019-05-19,0,7,1,1
2019-05-26,0,8,1,1
2019-06-02,0,8,1,1
2019-06-09,0,8,1,1
2019-06-16,0,7,1,1
2019-06-23,0,7,1,1
2019-06-30,0,7,1,1
2019-07-07,0,8,1,1
2019-07-14,0,7,1,1
2019-07-21,0,6,1,1
2019-07-28,0,7,1,1
2019-08-04,0,7,1,1
2019-08-11,0,6,1,1
2019-08-18,0,7,1,1
2019-08-25,0,8,1,1
2019-09-01,0,11,1,1
2019-09-08,0,8,1,1
2019-09-15,0,8,1,1
2019-09-22,0,8,1,1
2019-09-29,0,8,1,1
2019-10-06,0,12,1,1
2019-10-13,0,9,1,1
2019-10-20,0,8,1,1
2019-10-27,0,8,1,1
2019-11-03,0,9,1,1
2019-11-10,0,9,1,1
2019-11-17,0,8,1,1
2019-11-24,0,8,1,1
2019-12-01,0,8,1,1
2019-12-08,0,8,1,1
2019-12-15,0,10,1,1
2019-12-22,0,7,1,1
2019-12-29,0,8,1,1
2020-01-05,0,15,1,1
2020-01-12,0,22,2,1
2020-01-19,0,69,6,1
2020-01-26,0,18,1,1
2020-02-02,0,10,1,1
2020-02-09,0,9,1,1
2020-02-16,0,9,1,1
2020-02-23,0,9,1,1
2020-03-01,0,9,1,1
2020-03-08,0,9,1,1
2020-03-15,0,9,1,1
2020-03-22,0,9,1,1
2020-03-29,1,9,1,1
2020-04-05,0,7,1,1
2020-04-12,0,8,1,1
2020-04-19,0,8,1,1
2020-04-26,0,9,1,1
2020-05-03,0,8,1,1
2020-05-10,0,9,1,1
2020-05-17,0,9,1,1
2020-05-24,0,7,1,1
2020-05-31,0,9,1,1
2020-06-07,0,9,1,1
2020-06-14,0,8,1,1
2020-06-21,0,8,1,1
2020-06-28,0,8,1,1
2020-07-05,0,8,1,1
2020-07-12,0,8,1,1
2020-07-19,0,8,1,1
2020-07-26,0,8,1,1
2020-08-02,0,9,1,1
2020-08-09,0,8,1,1
2020-08-16,0,9,1,1
2020-08-23,0,10,1,1
2020-08-30,0,9,1,1
2020-09-06,0,10,1,1
2020-09-13,0,9,1,1
2020-09-20,0,10,1,1
2020-09-27,0,8,1,1
2020-10-04,0,9,1,1
2020-10-11,0,11,2,1
2020-10-18,0,10,3,1
2020-10-25,0,13,4,1
2020-11-01,0,12,3,1
2020-11-08,1,13,5,1
2020-11-15,1,21,10,1
2020-11-22,1,16,9,1
2020-11-29,1,14,7,1
2020-12-06,0,14,7,1
2020-12-13,0,13,6,1
2020-12-20,0,12,7,1
2020-12-27,0,13,6,1
2021-01-03,0,15,6,1
2021-01-10,1,15,7,1
2021-01-17,1,16,7,1
2021-01-24,0,25,10,1
2021-01-31,0,17,7,1
2021-02-07,1,14,5,1
2021-02-14,0,13,5,1
2021-02-21,0,12,5,1
2021-02-28,1,12,5,1
2021-03-07,0,10,4,1
2021-03-14,0,12,5,1
2021-03-21,0,12,5,1
2021-03-28,0,12,5,1
2021-04-04,0,12,5,1
2021-04-11,1,11,5,1
2021-04-18,1,17,6,1
2021-04-25,1,12,6,1
2021-05-02,1,11,6,1
2021-05-09,1,10,5,1
2021-05-16,1,12,5,1
2021-05-23,1,10,4,1
2021-05-30,1,10,4,1
2021-06-06,1,10,4,1
2021-06-13,1,11,4,1
2021-06-20,1,10,5,1
2021-06-27,1,10,5,1
2021-07-04,1,10,5,1
2021-07-11,1,11,7,1
2021-07-18,1,10,8,1
2021-07-25,1,11,7,1
2021-08-01,1,11,6,1
2021-08-08,1,10,7,1
2021-08-15,1,10,5,1
2021-08-22,1,11,7,1
2021-08-29,0,12,6,1
2021-09-05,1,12,6,1
2021-09-12,1,12,5,1
2021-09-19,1,12,5,1
2021-09-26,1,13,5,1
2021-10-03,1,12,5,1
2021-10-10,1,11,6,1
2021-10-17,1,11,6,1
2021-10-24,1,11,6,1
2021-10-31,1,13,6,1
2021-11-07,1,13,8,1
2021-11-14,1,13,15,1
2021-11-21,1,13,9,1
2021-11-28,1,16,8,1
2021-12-05,1,12,6,1
2021-12-12,1,13,8,1
2021-12-19,0,16,9,1
2021-12-26,1,11,7,1
2022-01-02,1,15,9,1
2022-01-09,1,16,8,1
2022-01-16,1,20,12,1
2022-01-23,1,16,11,1
2022-01-30,1,15,10,1
2022-02-06,1,18,11,1
2022-02-13,1,19,14,1
2022-02-20,1,35,24,1
2022-02-27,1,32,18,1
2022-03-06,1,26,19,1
2022-03-13,1,20,13,1
2022-03-20,1,18,12,1
2022-03-27,1,16,11,1
2022-04-03,1,16,11,1
2022-04-10,1,15,9,1
2022-04-17,1,16,9,1
2022-04-24,1,16,10,1
2022-05-01,1,18,8,1
2022-05-08,1,18,7,1
2022-05-15,1,23,9,1
2022-05-22,1,67,20,1
2022-05-29,1,24,10,1
2022-06-05,1,17,8,1
2022-06-12,1,15,6,1
2022-06-19,1,14,6,1
2022-06-26,1,13,6,1
2022-07-03,1,17,8,1
2022-07-10,1,19,9,1
2022-07-17,1,18,9,1
2022-07-24,1,18,8,1
2022-07-31,1,17,7,1
2022-08-07,1,14,7,1
2022-08-14,1,14,6,3
2022-08-21,1,18,9,1
2022-08-28,1,17,8,1
2022-09-04,1,20,9,1
2022-09-11,1,18,8,1
2022-09-18,1,17,8,1
2022-09-25,1,17,8,1
2022-10-02,1,15,6,1
2022-10-09,1,18,7,1
2022-10-16,1,17,6,1
2022-10-23,1,21,8,1
2022-10-30,1,17,6,1
2022-11-06,1,15,5,1
2022-11-13,1,17,13,1
2022-11-20,1,16,9,1
2022-11-27,1,15,12,1
2022-12-04,1,14,8,1
2022-12-11,2,17,8,1
2022-12-18,1,15,6,0
2022-12-25,2,17,7,1
2023-01-01,4,21,8,2
2023-01-08,2,31,8,3
2023-01-15,3,100,23,2
2023-01-22,3,35,11,6
2023-01-29,12,21,7,8
2023-02-05,10,20,6,5
2023-02-12,11,16,8,4
2023-02-19,21,16,6,3
2023-02-26,13,16,4,2
2023-03-05,13,16,6,2
2023-03-12,9,18,5,1
2023-03-19,7,15,5,1
2023-03-26,7,17,5,2
2023-04-02,6,13,4,2
2023-04-09,5,12,4,1
2023-04-16,6,14,5,1
2023-04-23,4,13,4,1
2023-04-30,4,16,4,1
2023-05-07,4,20,5,1
2023-05-14,4,17,6,1
2023-05-21,3,16,5,1
2023-05-28,3,15,4,1
2023-06-04,4,13,4,1
2023-06-11,3,15,5,1
2023-06-18,3,16,4,1
2023-06-25,3,14,4,1
2023-07-02,2,15,5,1
2023-07-09,2,15,5,1
2023-07-16,2,14,5,1
2023-07-23,3,15,6,1
2023-07-30,3,15,7,1
2023-08-06,3,15,6,1
2023-08-13,7,15,6,1
2023-08-20,6,17,5,1
2023-08-27,5,15,5,1
2023-09-03,4,15,5,1
2023-09-10,4,15,5,1
2023-09-17,4,14,4,1
2023-09-24,3,15,7,1
2023-10-01,5,15,7,1
2023-10-08,2,13,7,1
2023-10-15,2,13,5,1
2023-10-22,2,12,5,1
2023-10-29,2,16,4,1
2023-11-05,2,13,4,1
2023-11-12,2,13,4,1
2023-11-19,2,15,4,1
2023-11-26,2,13,4,1
2023-12-03,2,15,4,1
2023-12-10,2,15,5,1
2023-12-17,1,13,5,1
2023-12-24,1,12,5,1
2023-12-31,1,15,4,1
2024-01-07,1,27,5,1
2024-01-14,1,81,20,1
2024-01-21,1,32,11,1
2024-01-28,1,18,6,3
2024-02-04,2,16,5,6
2024-02-11,1,15,5,2
2024-02-18,2,14,4,2
2024-02-25,1,12,4,1
